ID,FIRSTNAME,LASTNAME,TOTAL_EUROS
34,Samuel,Lavoisier,145.25
44,Mary,Fermi,138.41
24,Ringo,Maxwell,136.83
22,Paul,Lavoisier,124.71
32,Samuel,Fermi,119.16
5,John,Pasteur,99.14
10,James,Lavoisier,73.18
29,Ringo,Pasteur,70.03
38,Sam,Fermi,65.07
41,Sam,Pasteur,60.78
21,Paul,Feynman,54.64
15,Peter,Feynman,54.27
59,Jane,Pasteur,52.64
50,Sarah,Fermi,51.17
17,Peter,Pasteur,50.91
28,Ringo,Lavoisier,45.54
3,John,Feynman,40.34
9,James,Feynman,38.54
47,Mary,Pasteur,38.28
37,Sam,Heisenberg,37.19
46,Mary,Lavoisier,36.67
45,Mary,Feynman,35.79
51,Sarah,Feynman,34.59
20,Paul,Fermi,34.40
19,Paul,Heisenberg,33.66
54,Jane,Maxwell,28.20
57,Jane,Feynman,23.15
6,James,Maxwell,22.81
25,Ringo,Heisenberg,20.87
0,John,Maxwell,18.94
35,Samuel,Pasteur,16.30
40,Sam,Lavoisier,15.36
8,James,Fermi,12.71
36,Sam,Maxwell,9.81
58,Jane,Lavoisier,6.49
48,Sarah,Maxwell,5.88
